Date,Open,High,Low,Close,Adj Close,Volume
1/6/2014,4259.583008,4263.623047,4188.375,4202.809082,4202.684082,1972307800
1/7/2014,4206.296875,4212.316895,4175.806152,4175.806152,4175.682129,2384719900
1/8/2014,4183.549805,4204.301758,4161.192871,4200.592773,4200.467773,2300216600
1/9/2014,4199.967773,4216.821777,4189.121094,4201.217773,4201.092773,2758241900
1/10/2014,4196.688965,4270.15918,4190.562988,4254.971191,4254.845215,2963737800
1/13/2014,4294.193848,4393.319824,4292.333984,4390.770996,4390.640625,4904665700
1/15/2014,4402.35791,4459.477051,4398.117188,4441.594238,4441.462402,4562949400
1/16/2014,4455.544922,4457.76416,4411.905762,4412.48877,4412.35791,3210947100
1/17/2014,4408.366211,4429.568848,4391.176758,4412.228027,4412.097168,2918989200
1/20/2014,4431.571777,4431.571777,4431.571777,4431.571777,4431.44043,0
1/21/2014,4442.345215,4457.516113,4440.240234,4452.499023,4452.367188,3286477900
1/22/2014,4445.254883,4477.48877,4437.057129,4477.48877,4477.355957,3291638300
1/23/2014,4495.47998,4510.21582,4483.246094,4496.041992,4495.908203,3157704200
1/24/2014,4479.39209,4480.617188,4437.342773,4437.342773,4437.210938,2406845000
1/27/2014,4357.733887,4360.353027,4286.443848,4322.779785,4322.651367,2695456900
1/28/2014,4311.628906,4353.861816,4293.984863,4341.650879,4341.521973,2532395500
1/29/2014,4355.924805,4432.348145,4355.924805,4417.349121,4417.217773,2926037900
1/30/2014,4368.663086,4418.756836,4347.72998,4418.756836,4418.625488,2653974500
2/3/2014,4407,4410.776855,4377.541992,4386.258789,4386.128418,2183800900
2/4/2014,4335.279785,4367.300781,4320.783203,4352.255859,4352.126465,2348695600
2/5/2014,4378.045898,4391.884766,4366.033203,4384.310059,4384.179688,2833520100
2/6/2014,4386.542969,4424.708984,4385.295898,4424.708984,4424.577637,3427599200
2/7/2014,4441.720215,4474.198242,4440.585938,4466.665039,4466.532227,3773466200
2/10/2014,4485.462891,4502.774902,4449.041992,4450.748047,4450.616211,3690606500
2/11/2014,4454.032227,4475.147949,4452.34082,4470.189941,4470.057129,3837099200
2/12/2014,4489.602051,4502.187012,4480.971191,4496.286133,4496.152344,4053679200
2/13/2014,4493.638184,4500.321777,4484.286133,4491.660156,4491.526367,2931782800
2/14/2014,4504.650879,4512.749023,4498.266113,4508.043945,4507.910156,2863391900
2/17/2014,4524.526855,4560.102051,4524.526855,4555.368164,4555.23291,4426538000
2/18/2014,4558.979004,4570.305176,4550.00293,4556.190918,4556.055664,4443276100
2/19/2014,4559.494141,4592.650879,4559.332031,4592.650879,4592.514648,4303290400
2/20/2014,4583.569824,4598.221191,4574.972168,4598.221191,4598.084961,3606564700
2/21/2014,4614.890137,4650.459961,4613.898926,4646.152832,4646.014648,3801249100
2/24/2014,4652.776855,4665.26709,4622.929199,4623.574219,4623.437012,3274141100
2/25/2014,4628.191895,4643.112793,4567.874023,4577.291016,4577.155273,3319054800
2/26/2014,4562.490234,4571.055176,4520.221191,4532.720215,4532.585449,3852315900
2/27/2014,4533.939941,4575.329102,4530.13623,4568.939941,4568.804199,3378387900
2/28/2014,4581.438965,4620.21582,4579.544922,4620.21582,4620.078613,3586840800
3/3/2014,4589.624023,4589.925781,4567.759766,4584.205078,4584.068848,2850611800
3/4/2014,4581.308105,4602.199219,4568.654785,4601.28418,4601.147949,3372799000
3/5/2014,4621.125,4659.171875,4621.043945,4659.171875,4659.033691,3833006600
