Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,28125.000000,28400.000000,27925.000000,28125.000000,27870.226563,12567500
2019-04-23,28400.000000,28550.000000,27975.000000,28150.000000,27895.000000,9730800
2019-04-24,28200.000000,28200.000000,28000.000000,28150.000000,28150.000000,9395000
2019-04-25,27675.000000,28100.000000,27625.000000,27975.000000,27975.000000,12296500
2019-04-26,27925.000000,28225.000000,27850.000000,28100.000000,28100.000000,13240900
2019-04-29,28050.000000,28475.000000,27975.000000,28425.000000,28425.000000,13096100
2019-04-30,28350.000000,28800.000000,28350.000000,28750.000000,28750.000000,21521500
2019-05-01,28750.000000,28750.000000,28750.000000,28750.000000,28750.000000,0
2019-05-02,29000.000000,29050.000000,28375.000000,28425.000000,28425.000000,16175900
2019-05-03,28400.000000,28750.000000,28075.000000,28375.000000,28375.000000,11648900
2019-05-06,28000.000000,28300.000000,27975.000000,28100.000000,28100.000000,7329900
2019-05-07,28375.000000,28550.000000,28250.000000,28300.000000,28300.000000,11835400
2019-05-08,28000.000000,28500.000000,27975.000000,28500.000000,28500.000000,11812400
2019-05-09,28500.000000,28500.000000,28125.000000,28150.000000,28150.000000,25327300
2019-05-10,28050.000000,28400.000000,28000.000000,28050.000000,28050.000000,15226100
2019-05-13,28400.000000,28475.000000,28000.000000,28050.000000,28050.000000,12744100
2019-05-14,27800.000000,28150.000000,27475.000000,27475.000000,27475.000000,22960100
2019-05-15,27775.000000,27775.000000,27225.000000,27300.000000,27300.000000,14413000
2019-05-16,27300.000000,27400.000000,26400.000000,26400.000000,26400.000000,17587800
2019-05-17,26400.000000,26550.000000,25900.000000,25900.000000,25900.000000,14841400
2019-05-20,25900.000000,26950.000000,25700.000000,26900.000000,26900.000000,10952900
2019-05-21,27350.000000,27475.000000,27000.000000,27300.000000,27300.000000,19474200
2019-05-22,27650.000000,27650.000000,27000.000000,27300.000000,27300.000000,7703800
2019-05-23,27200.000000,28025.000000,26700.000000,28025.000000,28025.000000,10985200
2019-05-24,28050.000000,28150.000000,28025.000000,28050.000000,28050.000000,7480400
2019-05-27,27675.000000,28500.000000,27650.000000,28425.000000,28425.000000,13712800
